
 ****** Running generation 0 ****** 

Population's average fitness: -546.83688 stdev: 2273.70170
Best fitness: 0.61306 - size: (2, 14) - species 18 - id 22
Average adjusted fitness: 0.919
Mean genetic distance 3.220, standard deviation 0.522
Population of 270 members in 124 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     1      0.0    1.000     0
     2    0     1      0.1    1.000     0
     3    0     2      0.4    1.000     0
     4    0     6      0.1    1.000     0
     5    0     2  -10000.0    0.000     0
     6    0     1      0.0    1.000     0
     7    0     1      0.1    1.000     0
     8    0     2     -0.3    1.000     0
     9    0     3      0.1    1.000     0
    10    0     6      0.2    1.000     0
    11    0     2     -0.0    1.000     0
    12    0    16      0.0    1.000     0
    13    0     1      0.0    1.000     0
    14    0     2      0.1    1.000     0
    15    0     1     -0.1    1.000     0
    16    0     2      0.0    1.000     0
    17    0     2      0.1    1.000     0
    18    0     1      0.6    1.000     0
    19    0     1      0.1    1.000     0
    20    0     1     -0.1    1.000     0
    21    0     1  -10000.0    0.000     0
    22    0     1     -0.1    1.000     0
    23    0     1      0.3    1.000     0
    24    0     2      0.0    1.000     0
    25    0     1      0.0    1.000     0
    26    0     2      0.0    1.000     0
    27    0     1      0.1    1.000     0
    28    0    14      0.0    1.000     0
    29    0     1      0.3    1.000     0
    30    0     1      0.1    1.000     0
    31    0     1     -0.1    1.000     0
    32    0     1     -0.1    1.000     0
    33    0    14      0.0    1.000     0
    34    0     1  -10000.0    0.000     0
    35    0     1      0.5    1.000     0
    36    0     1     -0.1    1.000     0
    37    0     1     -0.1    1.000     0
    38    0     2     -0.1    1.000     0
    39    0     1      0.3    1.000     0
    40    0     2     -0.0    1.000     0
    41    0     2     -0.1    1.000     0
    42    0     1      0.0    1.000     0
    43    0     2      0.0    1.000     0
    44    0     1      0.0    1.000     0
    45    0     1     -0.1    1.000     0
    46    0     1     -0.0    1.000     0
    47    0     1      0.0    1.000     0
    48    0     2      0.0    1.000     0
    49    0     2     -0.0    1.000     0
    50    0     2      0.0    1.000     0
    51    0     1      0.0    1.000     0
    52    0     2      0.1    1.000     0
    53    0     2      0.3    1.000     0
    54    0     2      0.0    1.000     0
    55    0     1      0.1    1.000     0
    56    0     1      0.0    1.000     0
    57    0     2      0.5    1.000     0
    58    0     2  -10000.0    0.000     0
    59    0     1      0.1    1.000     0
    60    0     1     -0.1    1.000     0
    61    0     2      0.1    1.000     0
    62    0    10      0.3    1.000     0
    63    0     2      0.0    1.000     0
    64    0     1     -0.1    1.000     0
    65    0     1      0.0    1.000     0
    66    0     1     -0.1    1.000     0
    67    0     2  -10000.0    0.000     0
    68    0     2      0.3    1.000     0
    69    0    23      0.0    1.000     0
    70    0     1      0.1    1.000     0
    71    0     1      0.1    1.000     0
    72    0     1     -0.1    1.000     0
    73    0     1      0.3    1.000     0
    74    0     2     -0.0    1.000     0
    75    0     2     -0.0    1.000     0
    76    0     2     -0.0    1.000     0
    77    0     2      0.0    1.000     0
    78    0     1      0.0    1.000     0
    79    0     1      0.3    1.000     0
    80    0     2      0.0    1.000     0
    81    0     2      0.1    1.000     0
    82    0     2      0.3    1.000     0
    83    0     2      0.0    1.000     0
    84    0     2      0.0    1.000     0
    85    0     1      0.0    1.000     0
    86    0     2      0.1    1.000     0
    87    0     1     -0.1    1.000     0
    88    0     2     -0.0    1.000     0
    89    0     1      0.0    1.000     0
    90    0     1      0.1    1.000     0
    91    0     2  -10000.0    0.000     0
    92    0     1     -0.1    1.000     0
    93    0     2      0.0    1.000     0
    94    0     2  -10000.0    0.000     0
    95    0     1      0.1    1.000     0
    96    0     2  -10000.0    0.000     0
    97    0     2  -10000.0    0.000     0
    98    0     1      0.0    1.000     0
    99    0     2     -0.0    1.000     0
   100    0     1      0.1    1.000     0
   101    0     2      0.0    1.000     0
   102    0     1     -0.0    1.000     0
   103    0     2     -0.1    1.000     0
   104    0     2      0.1    1.000     0
   105    0     2     -0.0    1.000     0
   106    0     2     -0.2    1.000     0
   107    0     2     -0.1    1.000     0
   108    0     1      0.1    1.000     0
   109    0     1  -10000.0    0.000     0
   110    0     3      0.5    1.000     0
   111    0     2      0.1    1.000     0
   112    0     2      0.5    1.000     0
   113    0     3      0.0    1.000     0
   114    0     2     -0.1    1.000     0
   115    0     1      0.1    1.000     0
   116    0     2     -0.0    1.000     0
   117    0     2     -0.1    1.000     0
   118    0     1     -0.0    1.000     0
   119    0     2      0.1    1.000     0
   120    0     1      0.0    1.000     0
   121    0     2      0.0    1.000     0
   122    0     2     -0.0    1.000     0
   123    0     2     -0.1    1.000     0
   124    0     2      0.0    1.000     0
Total extinctions: 0
Generation time: 52.223 sec

 ****** Running generation 1 ****** 

Population's average fitness: -888.85297 stdev: 2845.84422
Best fitness: 0.61306 - size: (2, 14) - species 18 - id 22
Average adjusted fitness: 0.912
Mean genetic distance 3.164, standard deviation 0.572
Population of 274 members in 124 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    1     2      0.0    1.000     1
     2    1     2      0.1    1.000     1
     3    1     2      0.4    1.000     1
     4    1     9      0.1    1.000     1
     5    1     3     -0.1    0.500     0
     6    1     1     -0.0    1.000     1
     7    1     2      0.1    1.000     1
     8    1     2     -0.1    1.000     0
     9    1     2      0.1    1.000     1
    10    1     3     -0.1    0.333     1
